[[ 3, 5, 9, 25, 48, 77 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 33, 26, 69 ],'<2, 1>',x^13 + x^12 + x^9 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 5, 15, 9, 18, 65 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 9, 3, 25, 38, 93 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 5, 9, 33, 28, 65 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 9, 1, 17, 26, 57 ],'<2, 1>',x^14 + x^13 + x^8 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 1, 9, 7, 17, 26, 81 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5*y + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 5, 5, 17, 25, 40, 77 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 1, 9, 13, 25, 36, 81 ],'<2, 1>',x^14 + x^13 + x^9 + x^6 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 3, 9, 9, 17, 28, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 3, 9, 15, 25, 28, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 3, 5, 9, 25, 18, 77 ],'<2, 1>',x^13 + x^12 + x^10 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 1, 9, 13, 17, 6, 45 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 5, 5, 11, 9, 40, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 1, 5, 7, 9, 36, 65 ],'<2, 1>',x^14 + x^13 + x^11 + x^7 + x^5*y + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 9, 13, 17, 36, 93 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 25, 26, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7 + x^5*y + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 5, 9, 11, 17, 30, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 1, 5, 7, 9, 26, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
