[[ 2, 6, 8, 14, 52, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 2, 6, 2, 22, 22, 90 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2]
[[ 2, 6, 8, 14, 32, 114 ],'<2, 1>',x^13 + x^12 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 6, 8, 14, 32, 114 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x*y + x + y^2]
[[ 2, 6, 2, 30, 22, 54 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 6, 2, 22, 42, 66 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2]
[[ 2, 6, 14, 22, 22, 66 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2]
[[ 2, 6, 14, 22, 22, 66 ],'<2, 1>',x^14 + x^13 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 6, 10, 22, 54, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + 1]
[[ 4, 6, 10, 14, 34, 42 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 6, 14, 30, 42, 78 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2]
[[ 2, 6, 14, 30, 42, 78 ],'<2, 1>',x^14 + x^13 + x^8 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + x + y^2]
[[ 4, 6, 16, 22, 24, 66 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 10, 6, 14, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 14, 14, 42 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 14, 14, 42 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^4 + x^3*y + x^3 + x*y + x + y^2]
[[ 2, 6, 2, 6, 42, 90 ],'<2, 1>',x^14 + x^13 + x^8 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 6, 4, 14, 64, 54 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 16, 6, 24, 90 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 14, 22, 42, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 6, 4, 22, 44, 66 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 4, 22, 44, 66 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 2, 14, 22, 102 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2]
[[ 2, 6, 2, 14, 22, 102 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x*y + x + y^2]
[[ 4, 6, 10, 14, 34, 90 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 8, 14, 32, 42 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2]
[[ 2, 6, 14, 14, 22, 54 ],'<2, 1>',x^13 + x^12 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 6, 10, 14, 14, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 4, 30, 24, 78 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 4, 30, 24, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^4 + x^3*y + x*y + x + y^2]
[[ 4, 6, 4, 22, 24, 90 ],'<2, 1>',x^14 + x^13 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 16, 30, 44, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 6, 16, 14, 44, 102 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 16, 14, 44, 102 ],'<2, 1>',x^14 + x^13 + x^9 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + y^2 + 1]
[[ 4, 6, 10, 6, 34, 54 ],'<2, 1>',x^14 + x^13 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 6, 14, 14, 2, 54 ],'<2, 1>',x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2]
[[ 4, 6, 10, 22, 34, 30 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 8, 6, 52, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2]
[[ 2, 6, 8, 22, 12, 102 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 6, 8, 30, 52, 66 ],'<2, 1>',x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 6, 8, 30, 52, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x*y + x + y^2]
[[ 2, 6, 8, 22, 32, 30 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 6, 16, 22, 44, 90 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 2, 14, 22, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 3, 5, 9, 21, 33, 77 ],'<2, 1>',x^14 + x^13 + x^9 + x^7 + x^5 + x^4*y + x^4 + x^3 + x^2 + x*y + x + y^2]
[[ 3, 5, 9, 21, 13, 53 ],'<2, 1>',x^14 + x^13 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + x + y^2]
[[ 3, 5, 9, 21, 13, 53 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + x + y^2]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3 + x^2 + x*y + x + y^2]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7 + x^6 + x^5*y + x^5 + x^3 + x^2*y + x + y^2]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^13 + x^11 + x^10 + x^6 + x^5*y + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + 1]
[[ 3, 5, 9, 29, 33, 65 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + y^2 + 1]
[[ 3, 5, 9, 29, 33, 65 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + y^2 + y + 1]
