[[ 4, 10, 4, 26, 44, 70 ],'<2, 1>',x^13 + x^10 + x^7*y + x^6*y + x^6 + x^5*y + x^2*y + y^2 + y + 1]
[[ 4, 10, 4, 26, 44, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^2*y + x^2 + y^2 + y]
[[ 4, 10, 4, 26, 34, 70 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^6*y + x^5*y + x^2*y + y^2 + y]
[[ 4, 10, 16, 18, 14, 118 ],'<2, 1>',x^13 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^2*y + y^2 + y]
[[ 2, 6, 14, 26, 52, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^3 + x^2*y + x + y^2 + y]
[[ 4, 6, 16, 18, 44, 90 ],'<2, 1>',x^13 + x^9 + x^7*y + x^6*y + x^5*y + x^4 + x^2*y + y^2 + y]
[[ 2, 10, 2, 18, 52, 118 ],'<2, 1>',x^14 + x^12 + x^8 + x^7*y + x^6*y + x^5*y + x^2*y + y^2 + y + 1]
[[ 2, 10, 8, 34, 22, 70 ],'<2, 1>',x^14 + x^12 + x^7*y + x^6*y + x^6 + x^5*y + x^2*y + y^2 + y]
[[ 4, 10, 10, 18, 34, 70 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^6*y + x^5*y + x^2*y + y^2 + y]
[[ 2, 6, 2, 18, 22, 90 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^3 + x^2*y + y^2 + y + 1]
[[ 4, 6, 4, 18, 44, 90 ],'<2, 1>',x^10 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^2*y + y^2 + y + 1]
