[[ 5, 7, 17, 19, 35, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 7, 17, 19, 35, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3*y + x^2*y + x*y + y^2 + y]
[[ 1, 7, 1, 27, 31, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 5, 7, 11, 11, 35, 67 ],'<2, 1>',x^14 + x^12 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + y^2 + y]
[[ 5, 7, 11, 11, 35, 67 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 1, 7, 13, 11, 51, 55 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^4*y + x^3*y + x^2 + y^2 + y + 1]
[[ 3, 7, 3, 19, 13, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2 + y^2 + y]
[[ 3, 7, 3, 19, 13, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 3, 5, 15, 25, 23, 95 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x^2 + y^2 + y + 1]
[[ 3, 9, 15, 17, 23, 75 ],'<2, 1>',x^13 + x^12 + x^8 + x^6*y + x^5*y + x^4*y + x^2*y + y^2 + y]
[[ 3, 9, 9, 17, 43, 99 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 9, 17, 43, 99 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + y^2 + y + 1]
[[ 3, 9, 15, 25, 13, 99 ],'<2, 1>',x^14 + x^9 + x^8 + x^6*y + x^5*y + x^4*y + x^2*y + y^2 + y + 1]
[[ 3, 5, 3, 33, 23, 83 ],'<2, 1>',x^14 + x^11 + x^9 + x^6*y + x^5*y + x^4*y + x^2*y + y^2 + y]
[[ 3, 9, 15, 25, 23, 87 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^2*y + x^2 + y^2 + y]
[[ 3, 9, 15, 25, 23, 87 ],'<2, 1>',x^13 + x^11 + x^10 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 9, 9, 17, 13, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 3, 25, 33, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 3, 25, 33, 75 ],'<2, 1>',x^14 + x^9 + x^8 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 9, 9, 33, 43, 51 ],'<2, 1>',x^14 + x^9 + x^6*y + x^6 + x^5*y + x^4*y + x^2*y + y^2 + y]
[[ 3, 9, 9, 33, 43, 51 ],'<2, 1>',x^14 + x^11 + x^8 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 5, 9, 9, 23, 95 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + y^2 + y]
[[ 3, 9, 15, 33, 23, 75 ],'<2, 1>',x^13 + x^10 + x^8 + x^6*y + x^5*y + x^4*y + x^2*y + y^2 + y]
[[ 3, 9, 3, 17, 13, 87 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x + y^2 + y]
[[ 3, 5, 3, 17, 53, 71 ],'<2, 1>',x^14 + x^12 + x^6*y + x^5*y + x^4*y + x^4 + x^2*y + y^2 + y + 1]
[[ 3, 9, 9, 25, 33, 99 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x^2 + y^2 + y + 1]
