[[ 3, 5, 9, 17, 43, 107 ],'<2, 1>',x^13 + x^6*y + x^5*y + x^3 + x^2 + y^2 + y + 1]
[[ 5, 9, 5, 9, 25, 63 ],'<2, 1>',x^14 + x^12 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^3 + y^2 + y]
[[ 3, 9, 3, 17, 53, 87 ],'<2, 1>',x^13 + x^12 + x^6*y + x^5*y + x^4 + y^2 + y + 1]
[[ 3, 9, 3, 17, 53, 87 ],'<2, 1>',x^14 + x^12 + x^6*y + x^5*y + x^3 + y^2 + y + 1]
[[ 1, 9, 13, 17, 41, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^6*y + x^6 + x^5*y + x + y^2 + y + 1]
[[ 1, 9, 7, 17, 11, 63 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^3 + y^2 + y + 1]
[[ 1, 9, 1, 17, 31, 87 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^3 + y^2 + y + 1]
[[ 1, 5, 7, 33, 61, 83 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^6*y + x^5*y + x^5 + x^3 + y^2 + y + 1]
[[ 5, 9, 11, 17, 55, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^6*y + x^5*y + x^4 + x^3 + y^2 + y]
[[ 1, 9, 1, 33, 51, 63 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^2 + x + y^2 + y + 1]
