[[ 4, 4, 4, 16, 34, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4 + x^2*y + x + y^2]
[[ 4, 4, 4, 16, 34, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^2 + x*y + x + y^2]
[[ 2, 4, 14, 16, 32, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 4, 14, 16, 32, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4 + x^3 + x*y + y^2 + 1]
[[ 4, 4, 16, 8, 44, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^6 + x^5 + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 8, 8, 8, 52, 56 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5 + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 4, 4, 24, 24, 64 ],'<2, 1>',x^14 + x^13 + x^10 + x^8 + x^3 + x^2*y + x + y^2]
[[ 2, 8, 2, 32, 42, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^4 + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 8, 4, 16, 24, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 8, 8, 24, 32, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 8, 8, 24, 12, 104 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^6 + x^5 + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 8, 8, 24, 12, 104 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7 + x^5 + x^4 + x^3 + x*y + x + y^2]
[[ 4, 8, 16, 16, 24, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^3 + x^2*y + x + y^2]
