[[ 6, 6, 6, 10, 26, 54 ],'<2, 1>',x^11 + x^9 + x^7*y + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 4, 10, 4, 34, 24, 70 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^2 + y^2 + y]
[[ 6, 6, 18, 26, 36, 66 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3*y + y^2 + y]
[[ 0, 10, 6, 26, 30, 58 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^3*y + x^2 + y^2 + y + 1]
[[ 0, 6, 6, 18, 20, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x + y^2 + y + 1]
[[ 6, 6, 12, 34, 36, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y]
[[ 6, 6, 12, 18, 26, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 6, 6, 12, 18, 26, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^5 + x^4*y + x^3*y + x^2*y + x^2 + y^2 + y]
[[ 6, 10, 18, 10, 36, 82 ],'<2, 1>',x^13 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 0, 10, 6, 34, 40, 58 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 2, 10, 8, 26, 32, 94 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 2, 10, 8, 26, 32, 94 ],'<2, 1>',x^14 + x^12 + x^10 + x^7*y + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 2, 10, 14, 34, 22, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 32, 54 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^6 + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 2, 6, 8, 26, 32, 54 ],'<2, 1>',x^14 + x^13 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 6, 8, 26, 32, 54 ],'<2, 1>',x^14 + x^13 + x^9 + x^7*y + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 2, 10, 8, 10, 52, 106 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 10, 26, 24, 58 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 10, 26, 24, 58 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 4, 10, 16, 18, 34, 82 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 4, 10, 16, 18, 34, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 4, 10, 16, 18, 34, 82 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 16, 18, 54, 46 ],'<2, 1>',x^12 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 4, 6, 16, 26, 44, 42 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 16, 26, 24, 106 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 4, 10, 16, 26, 24, 106 ],'<2, 1>',x^12 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 2, 10, 8, 34, 42, 82 ],'<2, 1>',x^14 + x^13 + x^11 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 6, 10, 10, 24, 30 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 6, 10, 10, 24, 30 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 10, 8, 26, 32, 46 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x + y^2 + y]
[[ 2, 6, 8, 18, 12, 66 ],'<2, 1>',x^14 + x^12 + x^8 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 10, 10, 10, 14, 106 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 2, 10, 2, 18, 12, 46 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 4, 10, 16, 26, 44, 58 ],'<2, 1>',x^13 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 4, 10, 16, 26, 44, 58 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^5 + x^4 + x^3*y + x^2 + y^2 + y]
[[ 2, 6, 8, 10, 42, 90 ],'<2, 1>',x^14 + x^13 + x^11 + x^7*y + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 6, 2, 10, 42, 66 ],'<2, 1>',x^14 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 2, 6, 2, 10, 42, 66 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 4, 6, 10, 18, 54, 66 ],'<2, 1>',x^12 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 4, 6, 16, 26, 24, 78 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 6, 16, 26, 24, 78 ],'<2, 1>',x^12 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + y]
[[ 4, 6, 16, 34, 34, 54 ],'<2, 1>',x^12 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 10, 4, 10, 34, 58 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 10, 8, 18, 2, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + y^2 + y]
[[ 2, 6, 8, 26, 42, 90 ],'<2, 1>',x^14 + x^13 + x^10 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 10, 8, 10, 52, 94 ],'<2, 1>',x^14 + x^13 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 4, 10, 10, 34, 24, 82 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 6, 4, 26, 54, 102 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
