[[ 2, 6, 8, 10, 52, 54 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 2, 10, 2, 18, 42, 106 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y]
[[ 4, 6, 4, 26, 54, 78 ],'<2, 1>',x^13 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 10, 18, 54, 58 ],'<2, 1>',x^13 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 10, 10, 18, 54, 58 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^6 + x^3 + x*y + x + y^2 + y]
[[ 4, 10, 10, 18, 54, 58 ],'<2, 1>',x^12 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 2, 6, 14, 26, 52, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^4 + x*y + x + y^2 + y + 1]
[[ 2, 6, 14, 26, 52, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 2, 6, 14, 26, 52, 66 ],'<2, 1>',x^13 + x^12 + x^10 + x^7*y + x^7 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + y^2 + y + 1]
[[ 2, 6, 14, 26, 12, 78 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 0, 10, 6, 18, 40, 106 ],'<2, 1>',x^14 + x^11 + x^10 + x^7*y + x^6 + x^5 + x^3 + x*y + y^2 + y + 1]
[[ 2, 6, 14, 18, 42, 30 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4 + x*y + y^2 + y + 1]
[[ 2, 6, 14, 18, 42, 30 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 6, 10, 34, 24, 90 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4 + x*y + y^2 + y]
[[ 2, 10, 14, 10, 42, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^3 + x*y + x + y^2 + y + 1]
[[ 6, 6, 12, 18, 56, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^4 + x*y + x + y^2 + y]
[[ 6, 6, 6, 18, 36, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^2 + x*y + x + y^2 + y]
[[ 2, 10, 8, 18, 42, 94 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 10, 8, 18, 42, 94 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
