[[ 2, 8, 8, 16, 22, 68 ],'<2, 1>',x^13 + x^9 + x^7 + x^2 + x*y + y^2 + 1]
[[ 2, 8, 2, 24, 32, 92 ],'<2, 1>',x^13 + x^9 + x^5 + x^3 + x*y + y^2 + 1]
[[ 4, 4, 10, 24, 4, 28 ],'<2, 1>',x^14 + x^13 + x^9 + x^8 + x^7 + x^5 + x^4 + x*y + y^2 + 1]
[[ 2, 4, 8, 24, 62, 28 ],'<2, 1>',x^13 + x^9 + x^7 + x^5 + x^3 + x^2 + x*y + y^2 + 1]
[[ 4, 8, 10, 8, 14, 56 ],'<2, 1>',x^13 + x^7 + x^4 + x^2*y + x + y^2]
[[ 2, 8, 8, 24, 12, 104 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^2*y + x^2 + x + y^2]
[[ 4, 4, 10, 32, 34, 64 ],'<2, 1>',x^13 + x^9 + x^4 + x^2*y + x + y^2]
[[ 2, 4, 2, 32, 32, 52 ],'<2, 1>',x^13 + x^11 + x^9 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 8, 16, 32, 64 ],'<2, 1>',x^13 + x^6 + x^2*y + x + y^2]
[[ 4, 8, 16, 32, 24, 80 ],'<2, 1>',x^13 + x^2*y + x + y^2]
[[ 4, 4, 16, 8, 44, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 4, 8, 16, 52, 40 ],'<2, 1>',x^13 + x^9 + x^6 + x^3 + x^2*y + x + y^2]
[[ 2, 8, 2, 32, 42, 80 ],'<2, 1>',x^13 + x^4 + x^2*y + x + y^2]
[[ 2, 8, 14, 16, 22, 56 ],'<2, 1>',x^13 + x^6 + x^4 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 8, 16, 32, 64 ],'<2, 1>',x^13 + x^3 + x^2*y + x + y^2]
[[ 4, 4, 10, 24, 44, 100 ],'<2, 1>',x^13 + x^11 + x^7 + x^6 + x^3 + x^2*y + x + y^2]
[[ 2, 8, 14, 24, 32, 92 ],'<2, 1>',x^13 + x^11 + x^7 + x^6 + x^2*y + x + y^2]
[[ 2, 8, 8, 16, 22, 44 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 4, 14, 24, 42, 64 ],'<2, 1>',x^13 + x^9 + x^7 + x^6 + x^4 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 14, 16, 32, 100 ],'<2, 1>',x^13 + x^11 + x^9 + x^6 + x^2*y + x + y^2]
[[ 2, 8, 8, 8, 52, 56 ],'<2, 1>',x^13 + x^7 + x^2*y + x + y^2]
[[ 4, 8, 10, 16, 24, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^5 + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 8, 14, 16, 42, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^6 + x^4 + x^2*y + x + y^2]
[[ 4, 4, 10, 24, 24, 76 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^2*y + x + y^2]
[[ 4, 8, 4, 16, 24, 80 ],'<2, 1>',x^13 + x^9 + x^6 + x^2*y + x + y^2]
[[ 2, 8, 8, 32, 42, 68 ],'<2, 1>',x^13 + x^11 + x^4 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 2, 24, 22, 88 ],'<2, 1>',x^13 + x^7 + x^4 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 10, 16, 44, 44 ],'<2, 1>',x^13 + x^11 + x^9 + x^6 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 10, 24, 54, 56 ],'<2, 1>',x^13 + x^9 + x^7 + x^6 + x^4 + x^2*y + x + y^2]
[[ 2, 8, 14, 24, 52, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 4, 10, 24, 24, 28 ],'<2, 1>',x^13 + x^11 + x^7 + x^2*y + x + y^2]
[[ 4, 4, 4, 24, 44, 88 ],'<2, 1>',x^13 + x^7 + x^6 + x^2*y + x + y^2]
[[ 4, 8, 16, 16, 24, 80 ],'<2, 1>',x^13 + x^9 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 14, 16, 12, 76 ],'<2, 1>',x^13 + x^11 + x^6 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 16, 24, 34, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^4 + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 8, 8, 24, 32, 80 ],'<2, 1>',x^13 + x^7 + x^6 + x^3 + x^2*y + x + y^2]
[[ 2, 8, 2, 16, 42, 80 ],'<2, 1>',x^13 + x^9 + x^4 + x^3 + x^2*y + x + y^2]
[[ 4, 4, 10, 16, 34, 64 ],'<2, 1>',x^13 + x^6 + x^4 + x^2*y + x + y^2]
[[ 4, 8, 4, 16, 44, 56 ],'<2, 1>',x^13 + x^6 + x^3 + x^2*y + x + y^2]
[[ 4, 4, 4, 24, 24, 64 ],'<2, 1>',x^13 + x^9 + x^7 + x^6 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 16, 8, 34, 92 ],'<2, 1>',x^13 + x^11 + x^7 + x^4 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 10, 32, 24, 68 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^2*y + x + y^2 + 1]
