[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[5,13,11,25,25,79],[17, 43, 50, 44, 53]]
[[4,8,7,28,19,59],[17, 43, 52, 44, 53]]
[[4,10,16,18,19,100],[49, 17, 43, 51, 54]]
[[6,10,12,30,31,58],[17, 43, 50, 51, 53]]
[[6,8,15,16,46,77],[17, 43, 50, 53, 54]]
[[7,7,16,15,47,64],[17, 43, 52, 51, 53]]
[[6,10,9,26,56,31],[49, 17, 50, 44, 53]]
[[7,7,16,19,27,82],[17, 50, 52, 44, 54]]
[[5,9,11,25,25,75],[49, 17, 50, 53, 54]]
[[6,6,18,22,36,72],[49, 17, 52, 51, 53]]
[[5,5,14,33,25,86],[17, 50, 52, 51, 53]]
[[4,6,13,30,39,51],[17, 50, 52, 51, 54]]
[[3,11,9,19,23,83],[17, 50, 52, 53, 54]]
[[4,12,19,20,24,75],[10, 13, 34, 14, 16, 53]]
[[5,13,8,29,45,58],[10, 13, 14, 35, 16, 53]]
[[3,11,9,27,23,101],[10, 13, 14, 40, 16, 53]]
[[2,12,8,24,42,84],[10, 13, 14, 16, 52, 44]]
[[4,10,7,18,24,103],[10, 13, 14, 16, 49, 53]]
[[4,10,13,18,34,79],[10, 13, 14, 16, 52, 53]]
[[5,13,8,25,25,94],[10, 13, 14, 37, 17, 53]]
[[5,13,11,29,30,49],[10, 13, 14, 17, 38, 53]]
[[4,14,10,18,19,110],[10, 13, 14, 40, 17, 54]]
[[5,13,14,21,15,100],[10, 13, 14, 17, 43, 53]]
[[4,8,10,16,24,80],[10, 13, 14, 49, 17, 53]]
[[1,9,10,29,41,78],[10, 13, 14, 49, 17, 54]]
[[3,11,9,27,23,101],[10, 13, 14, 17, 50, 53]]
[[3,11,9,19,13,77],[10, 13, 14, 17, 52, 54]]
[[4,6,16,18,24,72],[10, 13, 14, 18, 53, 54]]
[[6,8,15,16,46,83],[10, 13, 34, 14, 35, 53]]
[[5,9,8,17,50,72],[10, 13, 34, 14, 49, 53]]
[[5,11,5,19,25,89],[10, 13, 14, 35, 40, 53]]
[[4,12,7,20,24,87],[10, 13, 14, 35, 52, 44]]
[[6,10,15,18,41,55],[10, 13, 14, 35, 49, 53]]
[[8,12,8,20,28,66],[10, 13, 14, 35, 52, 53]]
[[5,9,11,25,35,69],[10, 13, 14, 37, 38, 53]]
[[7,9,16,17,32,72],[10, 13, 14, 37, 43, 53]]
[[4,10,16,30,34,58],[10, 13, 14, 37, 50, 54]]
[[7,11,7,27,32,71],[10, 13, 14, 38, 43, 53]]
[[4,10,10,18,24,76],[10, 13, 14, 38, 50, 54]]
[[5,9,20,17,30,84],[10, 13, 14, 38, 52, 54]]
[[4,12,13,28,29,63],[10, 13, 14, 40, 52, 44]]
[[5,7,11,31,55,67],[10, 13, 14, 40, 50, 53]]
[[3,9,12,37,28,66],[10, 13, 14, 40, 52, 51]]
[[4,8,13,20,39,77],[10, 13, 14, 42, 50, 54]]
[[4,6,10,22,24,90],[10, 13, 14, 43, 50, 54]]
[[4,8,19,12,19,101],[10, 13, 14, 44, 51, 53]]
[[6,8,12,16,46,68],[10, 13, 14, 49, 50, 53]]
[[5,5,14,33,20,68],[10, 13, 14, 49, 52, 53]]
[[4,8,22,16,24,92],[10, 13, 14, 50, 52, 53]]
[[3,9,18,17,13,90],[10, 13, 34, 16, 17, 54]]
