[[1], [2, 4], [3, 5], [6, 7]]
[34, 40, 37, 49, 38, 9, 53, 54]
[34, 40, 37, 38, 50, 52, 9, 51]
[34, 40, 37, 38, 50, 9, 51, 53]
[34, 40, 37, 38, 50, 9, 51, 54]
[34, 40, 37, 38, 50, 52, 9, 53]
[34, 40, 37, 38, 50, 52, 9, 54]
[34, 40, 37, 38, 50, 9, 53, 54]
[34, 40, 37, 38, 52, 9, 51, 53]
[34, 40, 37, 38, 52, 9, 51, 54]
[34, 40, 37, 38, 9, 51, 53, 54]
[34, 40, 37, 38, 52, 9, 53, 54]
[34, 37, 42, 49, 38, 43, 9, 44]
