[[0, 1, 4, 7], [2, 4], [3, 5], [6, 7]]
[[3,7,12,19,33,112],[16, 38, 39, 53, 54]]
[[3,9,15,37,23,81],[40, 16, 42, 38, 53]]
[[3,9,18,21,18,96],[40, 16, 38, 43, 53]]
[[3,11,15,27,43,71],[40, 16, 38, 44, 53]]
[[4,10,13,26,24,91],[40, 16, 49, 38, 53]]
[[4,10,13,26,29,91],[40, 16, 38, 50, 53]]
[[3,5,6,13,33,92],[40, 16, 38, 50, 54]]
[[4,10,10,26,44,88],[40, 16, 38, 51, 53]]
[[4,8,25,20,24,77],[40, 16, 38, 52, 53]]
[[3,7,18,31,38,88],[40, 16, 38, 52, 54]]
[[4,8,13,32,24,83],[40, 16, 38, 53, 54]]
[[3,11,15,23,18,95],[16, 42, 38, 43, 53]]
[[2,8,8,32,47,62],[16, 42, 38, 52, 44]]
[[3,11,12,19,18,86],[16, 42, 38, 44, 53]]
[[4,4,10,16,39,88],[16, 42, 49, 38, 53]]
[[4,8,13,24,34,101],[16, 42, 38, 52, 53]]
[[3,3,12,7,28,120],[16, 42, 38, 52, 54]]
[[2,6,8,18,27,108],[16, 38, 43, 52, 44]]
[[3,9,6,33,23,78],[16, 38, 43, 44, 53]]
[[4,6,13,30,39,87],[16, 49, 38, 43, 53]]
[[4,10,10,26,34,106],[16, 38, 43, 52, 53]]
[[4,10,16,26,29,100],[16, 38, 43, 53, 54]]
[[4,8,7,32,54,77],[16, 49, 38, 44, 53]]
[[4,12,19,24,9,93],[16, 38, 52, 44, 53]]
[[4,8,13,32,24,71],[16, 38, 44, 53, 54]]
[[3,9,24,21,28,60],[16, 49, 38, 50, 53]]
[[2,4,20,20,17,76],[16, 49, 38, 50, 54]]
[[3,5,21,17,28,89],[16, 49, 38, 51, 53]]
[[3,5,15,21,28,83],[16, 49, 38, 52, 53]]
[[2,4,11,16,17,127],[16, 49, 38, 52, 54]]
[[3,5,9,17,43,101],[16, 49, 38, 53, 54]]
[[3,5,9,25,53,47],[16, 38, 50, 51, 53]]
[[2,2,11,6,27,89],[16, 38, 50, 51, 54]]
[[3,11,9,27,33,71],[16, 38, 50, 52, 53]]
[[3,11,12,19,43,86],[16, 38, 50, 53, 54]]
[[3,7,12,31,28,94],[16, 38, 52, 51, 53]]
[[2,8,14,20,27,74],[16, 38, 52, 51, 54]]
[[3,7,9,35,43,61],[16, 38, 51, 53, 54]]
[[3,7,6,15,33,94],[40, 16, 42, 39, 53]]
[[3,7,15,27,38,91],[40, 16, 43, 39, 53]]
[[2,4,20,20,22,94],[40, 16, 52, 39, 44]]
[[3,7,24,19,18,82],[40, 16, 39, 44, 53]]
[[4,6,28,10,44,78],[40, 16, 49, 39, 53]]
[[4,8,25,20,34,65],[40, 16, 50, 39, 53]]
[[3,7,18,23,18,100],[40, 16, 50, 39, 54]]
[[4,6,13,22,39,81],[40, 16, 39, 51, 53]]
[[4,8,16,12,14,116],[40, 16, 52, 39, 53]]
[[4,8,16,24,24,74],[40, 16, 39, 53, 54]]
[[3,3,6,11,33,120],[16, 42, 43, 39, 53]]
[[3,5,12,25,28,98],[16, 42, 39, 44, 53]]
[[4,10,19,26,24,79],[16, 42, 49, 39, 53]]
[[4,6,13,18,24,93],[16, 42, 52, 39, 53]]
[[3,13,9,37,38,55],[16, 42, 52, 39, 54]]
[[4,10,10,42,24,64],[16, 42, 39, 53, 54]]
[[2,4,2,20,32,58],[16, 43, 52, 39, 44]]
[[3,7,12,35,38,58],[16, 43, 39, 44, 53]]
[[4,8,22,20,29,92],[16, 43, 52, 39, 53]]
[[4,8,16,20,34,98],[16, 43, 39, 53, 54]]
[[3,13,6,25,53,88],[16, 49, 52, 39, 44]]
[[4,8,16,28,39,86],[16, 49, 39, 44, 53]]
[[4,12,13,36,24,45],[16, 39, 44, 53, 54]]
[[3,7,12,19,53,58],[16, 49, 50, 39, 53]]
[[2,6,20,26,22,90],[16, 49, 50, 39, 54]]
[[3,5,12,17,33,110],[16, 49, 39, 51, 53]]
[[3,5,3,17,48,83],[16, 49, 52, 39, 53]]
[[3,5,21,29,43,77],[16, 49, 39, 53, 54]]
[[3,7,18,23,43,70],[16, 50, 39, 51, 53]]
[[2,4,5,4,32,79],[16, 50, 39, 51, 54]]
[[2,8,14,32,27,98],[16, 50, 52, 39, 54]]
[[3,7,6,15,53,106],[16, 52, 39, 51, 53]]
[[3,11,15,31,38,59],[16, 39, 51, 53, 54]]
[[1,3,22,35,26,96],[16, 52, 39, 53, 54]]
[[4,12,13,24,14,111],[40, 16, 42, 43, 53]]
[[3,7,30,23,18,64],[40, 16, 42, 52, 44]]
[[3,5,21,29,38,95],[40, 16, 42, 49, 53]]
[[3,9,12,25,53,78],[40, 16, 42, 50, 53]]
[[3,5,15,25,28,83],[40, 16, 42, 51, 53]]
[[3,7,15,19,48,73],[40, 16, 42, 52, 53]]
[[3,11,9,31,43,65],[40, 16, 43, 52, 44]]
[[3,9,12,45,33,54],[40, 16, 49, 43, 53]]
[[3,7,15,19,43,85],[40, 16, 43, 50, 53]]
[[2,6,8,18,42,66],[40, 16, 43, 50, 54]]
[[3,9,15,21,58,57],[40, 16, 43, 51, 53]]
[[3,7,9,19,53,103],[40, 16, 43, 52, 53]]
[[3,11,15,23,38,71],[40, 16, 43, 53, 54]]
[[3,5,18,17,28,98],[40, 16, 49, 44, 53]]
[[2,8,11,32,42,77],[40, 16, 50, 52, 44]]
[[2,4,26,24,17,82],[40, 16, 50, 44, 54]]
[[2,4,5,12,7,115],[40, 16, 52, 44, 51]]
[[3,5,9,21,23,77],[40, 16, 44, 51, 53]]
[[3,7,9,27,28,103],[40, 16, 52, 44, 53]]
[[2,4,14,24,22,94],[40, 16, 52, 44, 54]]
[[3,3,9,11,23,105],[40, 16, 44, 53, 54]]
[[4,6,19,30,39,69],[40, 16, 49, 53, 54]]
[[2,6,5,46,42,69],[40, 16, 52, 53, 54]]
[[3,9,12,29,33,84],[16, 42, 43, 52, 44]]
[[3,9,15,29,38,69],[16, 42, 49, 43, 53]]
[[3,11,12,19,53,74],[16, 42, 43, 50, 53]]
[[2,6,20,26,47,60],[16, 42, 43, 50, 54]]
[[3,11,12,23,38,86],[16, 42, 43, 51, 53]]
[[3,9,3,21,58,99],[16, 42, 43, 52, 53]]
[[2,4,5,20,17,97],[16, 42, 43, 52, 54]]
[[3,5,6,9,33,74],[16, 42, 43, 53, 54]]
[[2,4,17,20,27,115],[16, 42, 49, 52, 44]]
[[2,6,11,22,52,69],[16, 42, 50, 52, 44]]
[[3,9,12,13,63,48],[16, 42, 50, 44, 53]]
[[2,6,14,22,17,84],[16, 42, 50, 44, 54]]
[[2,4,8,16,17,100],[16, 42, 52, 44, 51]]
[[3,5,12,13,33,116],[16, 42, 44, 51, 53]]
[[2,4,17,20,17,103],[16, 42, 52, 44, 54]]
[[3,7,18,19,23,100],[16, 42, 44, 53, 54]]
[[4,12,13,28,24,99],[16, 42, 49, 50, 53]]
[[3,11,15,31,18,89],[16, 42, 49, 50, 54]]
[[4,8,22,16,24,104],[16, 42, 49, 51, 53]]
[[4,8,19,20,24,89],[16, 42, 49, 53, 54]]
[[4,8,16,32,24,62],[16, 42, 50, 51, 53]]
[[3,5,3,9,33,95],[16, 42, 50, 51, 54]]
[[4,10,19,14,34,79],[16, 42, 50, 52, 53]]
[[4,6,13,10,34,87],[16, 42, 50, 53, 54]]
[[4,6,10,38,29,96],[16, 42, 51, 53, 54]]
[[2,10,8,30,27,82],[16, 42, 52, 53, 54]]
[[2,6,14,26,22,78],[16, 49, 43, 52, 44]]
[[2,14,11,30,37,77],[16, 43, 50, 52, 44]]
[[3,9,6,29,43,78],[16, 43, 50, 44, 53]]
[[2,6,14,10,42,78],[16, 43, 50, 44, 54]]
[[2,6,14,22,27,114],[16, 43, 52, 44, 51]]
[[3,7,24,23,23,88],[16, 43, 44, 51, 53]]
[[3,9,9,25,33,105],[16, 43, 52, 44, 53]]
[[3,9,15,25,38,93],[16, 43, 44, 53, 54]]
[[4,8,22,16,24,80],[16, 49, 43, 50, 53]]
[[3,7,12,23,38,112],[16, 49, 43, 50, 54]]
[[4,14,10,22,29,86],[16, 49, 43, 51, 53]]
[[4,6,19,26,44,87],[16, 49, 43, 52, 53]]
[[3,5,15,13,33,125],[16, 49, 43, 52, 54]]
[[4,10,13,30,34,103],[16, 49, 43, 53, 54]]
[[4,8,13,32,24,71],[16, 43, 50, 51, 53]]
[[4,10,13,30,34,85],[16, 43, 50, 52, 53]]
[[3,9,15,29,23,111],[16, 43, 50, 52, 54]]
[[4,6,10,30,39,84],[16, 43, 50, 53, 54]]
[[4,4,7,12,49,103],[16, 43, 52, 51, 53]]
[[3,5,6,17,38,104],[16, 43, 52, 51, 54]]
[[4,8,16,24,24,86],[16, 43, 51, 53, 54]]
[[2,8,11,8,57,83],[16, 43, 52, 53, 54]]
[[3,9,15,29,28,69],[16, 49, 50, 52, 44]]
[[3,5,15,17,33,101],[16, 49, 52, 44, 51]]
[[4,6,10,18,49,108],[16, 49, 44, 51, 53]]
[[3,7,12,19,28,112],[16, 49, 52, 44, 54]]
[[3,7,15,27,33,55],[16, 50, 52, 44, 51]]
[[4,8,13,20,49,71],[16, 50, 44, 51, 53]]
[[3,11,21,27,28,53],[16, 50, 44, 51, 54]]
[[4,6,13,14,34,81],[16, 50, 44, 53, 54]]
[[3,7,18,23,28,112],[16, 52, 44, 51, 54]]
[[4,12,13,36,19,69],[16, 44, 51, 53, 54]]
[[2,8,14,32,42,80],[16, 52, 44, 53, 54]]
[[3,9,15,29,33,57],[16, 49, 50, 51, 53]]
[[2,6,8,14,17,90],[16, 49, 50, 51, 54]]
[[3,5,9,29,33,77],[16, 49, 50, 52, 53]]
[[3,7,6,19,38,106],[16, 49, 52, 51, 53]]
[[3,7,21,27,28,97],[16, 49, 51, 53, 54]]
[[1,5,19,37,16,95],[16, 49, 52, 53, 54]]
[[3,5,3,21,33,77],[16, 50, 51, 53, 54]]
[[1,9,13,13,31,81],[16, 50, 52, 53, 54]]
[[1,7,4,15,21,88],[16, 52, 51, 53, 54]]
[[4,8,13,24,34,77],[34, 35, 17, 18, 53]]
[[3,7,12,19,33,124],[34, 35, 17, 18, 54]]
[[3,7,12,19,28,106],[34, 37, 17, 18, 53]]
