[[ 1, 5, 13, 29, 21, 77 ],'<2, 1>',x^33 + x^30 + x^29 + x^28 + x^27 + x^26 + x^24 + x^23*y + x^21*y + x^21 + x^20*y + x^20 + x^19*y + x^18 + x^17*y + x^16*y^2 + x^16 + x^15*y^2 + x^15*y + x^15 + x^14*y + x^14 + x^13*y + x^12*y^2 + x^12*y + x^12 + x^11*y^2 + x^11 + x^10*y^2 + x^9 + x^8*y + x^8 + x^7*y^2 + x^7*y + x^7 + x^6*y + x^5*y^2 + x^5*y + x^4 + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 5, 13, 29, 61, 77 ],'<2, 1>',x^33 + x^32 + x^31 + x^26 + x^25 + x^24 + x^23*y + x^22 + x^21*y + x^20*y + x^20 + x^19*y + x^19 + x^17*y + x^17 + x^16*y^2 + x^16 + x^15*y^2 + x^15*y + x^14*y + x^14 + x^13*y + x^13 + x^12*y^2 + x^12*y + x^11*y^2 + x^11 + x^10*y^2 + x^8*y + x^8 + x^7*y^2 + x^7*y + x^7 + x^6*y + x^5*y^2 + x^5*y + x^5 + x^4 + x^3 + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 5, 19, 29, 51, 65 ],'<2, 1>',x^33 + x^32 + x^31 + x^29 + x^26 + x^25 + x^24 + x^23*y + x^23 + x^22 + x^20*y + x^20 + x^19*y + x^17*y + x^16*y^2 + x^16*y + x^16 + x^15*y^2 + x^15 + x^14 + x^13*y^2 + x^12*y + x^11 + x^9*y + x^9 + x^8*y^2 + x^8 + x^5*y^2 + x^5*y + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y + x^3 + x^2 + y^4]
[[ 1, 5, 7, 29, 31, 65 ],'<2, 1>',x^9 + x^6 + x^5*y + x^4*y^2 + x^3*y^2 + x^3*y + x^3 + x^2 + y^4]
[[ 1, 5, 13, 45, 41, 125 ],'<4, 2>',x^33 + x^30 + x^26 + x^24 + x^23*y + x^23 + x^22 + x^21*y + x^20 + x^19*y + x^19 + x^17*y + x^16*y^2 + x^15*y^2 + x^15*y + x^15 + x^13*y + x^9*y^2 + x^7*y^2 + x^7*y + x^7 + x^6 + x^5*y^2 + x^5*y + x^5 + x^4 + x^2*y^2 + x^2 + y^4]
[[ 1, 5, 13, 21, 71, 53 ],'<2, 1>',x^9 + x^8 + x^6 + x^5*y + x^5 + x^4*y^2 + x^4*y + x^3*y^2 + x^3*y + x^2*y^2 + x^2*y + x^2 + x*y + x + y^4 + y + 1]
[[ 1, 5, 13, 21, 11, 53 ],'<2, 1>',x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y^2 + x^3*y^2 + x^3*y + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 1, 25, 29, 41, 73 ],'<2, 1>',x^17 + x^15 + x^14 + x^11*y + x^10*y + x^9*y + x^9 + x^8*y^2 + x^7*y^2 + x^7*y + x^6*y^2 + x^6 + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 1, 1, 29, 41, 73 ],'<2, 1>',x^17 + x^16 + x^14 + x^13 + x^12 + x^11*y + x^10*y + x^10 + x^9*y + x^8*y^2 + x^7*y^2 + x^7*y + x^7 + x^6*y^2 + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 13, 37, 31, 101 ],'<2, 1>',x^9 + x^8 + x^7 + x^5*y + x^4*y^2 + x^4 + x^3*y^2 + x^3*y + x^3 + x*y^2 + x*y + x + y^4 + y^2 + 1]
[[ 1, 5, 13, 37, 51, 101 ],'<2, 1>',x^9 + x^8 + x^6 + x^5*y + x^4*y^2 + x^4*y + x^3*y^2 + x^3*y + x^3 + x^2*y^2 + x^2*y + x^2 + x*y + y^4 + y + 1]
[[ 1, 9, 13, 29, 21, 81 ],'<4, 2>',x^17 + x^14 + x^12 + x^11*y + x^11 + x^10 + x^9*y + x^9 + x^8*y^2 + x^8*y + x^8 + x^7*y^2 + x^7*y + x^7 + x^6*y + x^6 + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 9, 13, 29, 61, 81 ],'<4, 2>',x^17 + x^16 + x^15 + x^11*y + x^9*y + x^9 + x^8*y^2 + x^8*y + x^7*y^2 + x^7*y + x^6*y + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 9, 13, 45, 41, 81 ],'<4, 2>',x^17 + x^14 + x^13 + x^11*y + x^11 + x^10 + x^9*y + x^9 + x^8*y^2 + x^8*y + x^8 + x^7*y^2 + x^7*y + x^6*y + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 13, 29, 51, 77 ],'<2, 1>',x^17 + x^16 + x^15 + x^11*y + x^11 + x^9*y + x^8*y^2 + x^8 + x^7*y^2 + x^4 + x^3*y^2 + x^3*y + x^3 + x^2 + y^4 + y^2 + 1]
[[ 1, 5, 13, 29, 51, 77 ],'<2, 1>',x^17 + x^16 + x^14 + x^12 + x^11*y + x^10*y + x^10 + x^9 + x^8*y^2 + x^8*y + x^7*y^2 + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^3 + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + x + y^4 + y^2 + 1]
[[ 1, 5, 13, 29, 31, 77 ],'<2, 1>',x^17 + x^15 + x^14 + x^12 + x^11*y + x^11 + x^10*y + x^9 + x^8*y^2 + x^8*y + x^7*y^2 + x^6*y^2 + x^6*y + x^5*y^2 + x^4*y + x^4 + x^3*y^2 + x^3 + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 5, 13, 29, 31, 77 ],'<2, 1>',x^17 + x^14 + x^13 + x^11*y + x^9*y + x^9 + x^8*y^2 + x^8 + x^7*y^2 + x^7 + x^6 + x^4 + x^3*y^2 + x^3*y + x^2 + y^4 + y^2]
[[ 1, 9, 13, 29, 51, 81 ],'<2, 1>',x^17 + x^16 + x^15 + x^11*y + x^10 + x^8*y^2 + x^8 + x^7*y^2 + x^7 + x^5 + x^4*y^2 + x^4 + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 9, 13, 29, 31, 81 ],'<2, 1>',x^17 + x^14 + x^13 + x^11*y + x^11 + x^10 + x^8*y^2 + x^7*y^2 + x^7 + x^4*y^2 + x^4 + x^3 + x*y^2 + x*y + x + y^4 + y^2 + 1]
[[ 1, 5, 1, 37, 41, 53 ],'<2, 1>',x^25 + x^23 + x^22 + x^21 + x^20 + x^18 + x^17*y + x^17 + x^16*y + x^15 + x^12*y^2 + x^12 + x^11*y^2 + x^11*y + x^10*y^2 + x^10*y + x^9*y + x^9 + x^8*y + x^8 + x^7*y^2 + x^7*y + x^6*y^2 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 25, 37, 41, 53 ],'<2, 1>',x^25 + x^23 + x^22 + x^20 + x^18 + x^17*y + x^17 + x^16*y + x^16 + x^15*y + x^14*y + x^13*y + x^13 + x^12*y^2 + x^11*y^2 + x^11*y + x^10*y^2 + x^9*y + x^8*y^2 + x^7 + x^6*y^2 + x^6*y + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 7, 29, 41, 65 ],'<2, 1>',x^25 + x^22 + x^20 + x^19 + x^17*y + x^15*y + x^15 + x^13*y + x^13 + x^12*y^2 + x^12*y + x^11*y^2 + x^11*y + x^11 + x^10*y + x^10 + x^9*y + x^9 + x^7 + x^6 + x^5*y^2 + x^5*y + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 19, 29, 41, 65 ],'<2, 1>',x^25 + x^22 + x^19 + x^17*y + x^17 + x^14*y + x^14 + x^12*y^2 + x^12 + x^11*y^2 + x^9 + x^7*y^2 + x^7*y + x^7 + x^5*y^2 + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 1, 19, 21, 11, 61 ],'<2, 1>',x^25 + x^22 + x^19 + x^18 + x^17*y + x^14*y + x^14 + x^13*y + x^13 + x^12*y^2 + x^12*y + x^11*y^2 + x^10 + x^9*y^2 + x^9*y + x^9 + x^7*y + x^6*y + x^5*y^2 + x^4 + y^4]
