[[1, 7], [2, 4], [3, 5], [6, 7]]
[[3,11,6,39,33,50],[0, 49, 8, 51, 53]]
[[3,7,9,23,13,79],[0, 49, 8, 52, 53]]
[[2,8,5,32,32,59],[0, 8, 50, 51, 53]]
[[2,4,2,20,22,70],[0, 8, 52, 51, 53]]
[[6,10,12,18,41,76],[0, 34, 40, 9, 53]]
[[4,12,13,24,29,81],[0, 34, 9, 53, 54]]
[[4,4,16,16,44,88],[0, 35, 52, 9, 44]]
[[4,6,10,22,59,84],[0, 35, 9, 44, 53]]
[[5,13,8,29,25,76],[0, 35, 50, 9, 54]]
[[5,9,8,33,35,78],[0, 37, 52, 9, 44]]
[[4,10,7,18,34,67],[0, 38, 52, 9, 44]]
[[4,8,7,20,44,71],[0, 38, 9, 44, 53]]
[[4,8,13,16,54,89],[0, 52, 9, 39, 44]]
[[6,12,12,20,21,90],[0, 9, 39, 44, 53]]
[[3,9,6,33,23,66],[0, 50, 9, 39, 54]]
[[4,10,13,26,29,85],[0, 40, 42, 9, 53]]
[[5,9,11,25,55,63],[0, 40, 49, 9, 53]]
[[4,10,13,30,19,73],[0, 40, 50, 9, 53]]
[[4,6,7,26,34,105],[0, 40, 52, 9, 53]]
[[3,9,18,25,33,78],[0, 42, 52, 9, 44]]
[[2,6,8,30,42,66],[0, 43, 9, 44, 53]]
[[3,9,12,25,23,114],[0, 43, 50, 9, 54]]
[[3,7,9,39,38,61],[0, 49, 9, 53, 54]]
[[2,6,11,34,47,87],[0, 50, 9, 53, 54]]
[[2,16,5,24,42,43],[0, 34, 35, 42, 53]]
[[3,7,9,23,33,127],[0, 34, 35, 49, 53]]
[[4,6,7,18,69,99],[0, 34, 35, 51, 53]]
[[4,8,16,16,44,80],[0, 34, 35, 52, 53]]
