[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[10, 7, 16, 42, 49, 52, 9, 51]
[10, 14, 7, 16, 43, 18, 44, 53]
[10, 14, 7, 16, 49, 18, 51, 53]
[10, 14, 40, 7, 16, 43, 52, 51]
[10, 14, 40, 7, 16, 49, 52, 44]
[10, 14, 7, 16, 42, 50, 44, 53]
[10, 40, 7, 16, 49, 43, 52, 44]
[10, 14, 49, 8, 43, 52, 9, 44]
[10, 40, 8, 43, 9, 18, 44, 53]
[10, 40, 49, 8, 9, 18, 51, 53]
[10, 42, 8, 50, 52, 9, 18, 51]
[10, 8, 52, 9, 18, 44, 53, 54]
[10, 40, 42, 8, 50, 9, 44, 53]
[10, 14, 40, 8, 50, 52, 18, 44]
[10, 14, 40, 42, 8, 43, 52, 44]
[10, 14, 40, 42, 49, 8, 52, 51]
[10, 40, 8, 43, 50, 52, 18, 44]
[10, 40, 49, 8, 50, 52, 18, 51]
[10, 42, 49, 8, 43, 18, 44, 53]
[10, 40, 42, 49, 8, 43, 52, 51]
[10, 40, 8, 50, 52, 51, 53, 54]
[10, 14, 40, 16, 42, 52, 9, 51]
[10, 40, 16, 50, 52, 9, 18, 51]
[10, 16, 42, 43, 9, 18, 44, 53]
[10, 16, 42, 49, 9, 18, 51, 53]
[10, 40, 16, 42, 43, 52, 9, 51]
[10, 40, 16, 42, 49, 52, 9, 44]
[10, 16, 49, 43, 50, 9, 51, 53]
[10, 14, 16, 42, 50, 52, 18, 44]
[10, 40, 16, 49, 43, 18, 44, 53]
[10, 16, 42, 43, 50, 52, 18, 44]
[10, 16, 42, 49, 50, 52, 18, 51]
[10, 16, 43, 52, 18, 51, 53, 54]
[10, 16, 49, 52, 18, 44, 53, 54]
[10, 40, 16, 42, 43, 50, 51, 53]
[10, 40, 16, 42, 49, 50, 44, 53]
[10, 16, 42, 50, 52, 51, 53, 54]
[0, 1, 5, 8, 43, 52, 18, 44, 53]
[0, 1, 5, 49, 8, 52, 18, 51, 53]
[0, 1, 5, 42, 8, 50, 52, 44, 53]
[0, 1, 5, 16, 52, 9, 18, 51, 53]
[0, 1, 5, 40, 16, 50, 52, 44, 53]
[0, 1, 7, 16, 8, 43, 52, 9, 54]
[0, 1, 14, 40, 7, 8, 17, 43, 54]
[0, 1, 7, 16, 8, 17, 50, 52, 54]
[0, 1, 40, 7, 16, 8, 50, 52, 54]
[0, 1, 7, 49, 17, 50, 52, 9, 54]
[0, 1, 40, 7, 50, 52, 9, 18, 54]
[0, 1, 40, 7, 42, 43, 52, 9, 54]
[0, 1, 40, 7, 49, 50, 52, 9, 54]
[0, 1, 40, 7, 50, 52, 9, 51, 54]
[0, 1, 14, 7, 16, 17, 50, 18, 54]
[0, 1, 14, 7, 16, 42, 17, 43, 54]
[0, 1, 40, 7, 17, 43, 52, 18, 54]
[0, 1, 40, 7, 42, 17, 50, 52, 54]
[0, 1, 7, 42, 49, 50, 52, 18, 54]
[0, 1, 7, 49, 43, 52, 18, 51, 54]
[0, 1, 7, 49, 52, 18, 44, 51, 54]
[0, 1, 7, 42, 43, 50, 52, 44, 54]
[0, 1, 7, 42, 49, 50, 52, 51, 54]
[0, 1, 40, 8, 17, 50, 9, 18, 54]
[0, 1, 40, 42, 8, 17, 43, 9, 54]
[0, 1, 14, 16, 8, 50, 52, 18, 54]
[0, 1, 14, 16, 42, 8, 43, 52, 54]
[0, 1, 14, 16, 49, 8, 50, 52, 54]
[0, 1, 14, 16, 8, 50, 52, 51, 54]
[0, 1, 42, 49, 8, 17, 50, 18, 54]
[0, 1, 14, 40, 17, 50, 52, 9, 54]
[0, 1, 14, 42, 43, 52, 9, 18, 54]
[0, 1, 14, 42, 52, 9, 18, 44, 54]
[0, 1, 14, 49, 50, 52, 9, 18, 54]
[0, 1, 14, 42, 49, 43, 52, 9, 54]
[0, 1, 14, 42, 52, 9, 44, 51, 54]
[0, 1, 14, 43, 50, 52, 9, 44, 54]
[0, 1, 14, 49, 50, 52, 9, 51, 54]
[0, 1, 16, 42, 17, 50, 9, 18, 54]
[0, 1, 16, 49, 17, 9, 44, 51, 54]
[0, 1, 14, 49, 17, 43, 52, 18, 54]
[0, 1, 14, 17, 52, 18, 44, 51, 54]
[0, 1, 14, 42, 49, 17, 50, 52, 54]
[0, 1, 14, 40, 42, 50, 52, 18, 54]
[0, 1, 14, 40, 49, 43, 52, 18, 54]
[0, 1, 14, 40, 43, 52, 18, 51, 54]
[0, 1, 14, 40, 49, 52, 18, 44, 54]
[0, 1, 14, 40, 52, 18, 44, 51, 54]
